sample,oxide,n,mean,2SD,2RSD%,2SE
UnkA-C20-S2-3MI_3,Fo,3,83.61915943225898,0.2367832979243767,0.28316871340496796,0.13670690079624626
UnkA-C20-S2-3MI_4,SiO2,3,41.4228731794527,0.027019081374798963,0.06522744392390782,0.015599473904996585
UnkA-C20-S2-3MI_4,MgO,3,47.16,0.13114877048603532,0.2780932368236542,0.07571877794400095
UnkA-C20-S2-3MI_4,FeO,3,13.030000000000001,0.17776388834631238,1.3642662190814456,0.10263202878893804
UnkA-C20-S2-3MI_4,MnO,3,0.21233333333333335,0.014403240376156127,6.783315718754847,0.008315714708376627
UnkA-C20-S2-3MI_4,CaO,3,0.3370666666666667,0.005029247790011308,1.49206322884038,0.0029036375653843593
UnkA-C20-S2-3MI_4,Cr2O3,3,0.03523333333333333,0.01906445208584116,54.10913553218872,0.011006866543713117
UnkA-C20-S2-3MI_4,NiO,3,0.20896666666666666,0.023297496288943422,11.148905545833507,0.013450815753865792
UnkA-C20-S2-3MI_4,Al2O3,3,0.028300000000000002,0.004014971979976948,14.1871801412613,0.0023180451534284955
UnkA-C20-S2-3MI_4,Fo,3,86.58016079605773,0.19045527699491532,0.21997565636721175,0.1099594054415991
UnkA-C21MI_1,SiO2,3,39.88243608741441,1.47023342343727,3.6864183025701065,0.848839662793093
UnkA-C21MI_1,MgO,3,43.98,0.20000000000000284,0.45475216007276686,0.1154700538379268
UnkA-C21MI_1,FeO,3,17.293333333333333,0.3113411847689519,1.8003538055259363,0.1797529168361714
UnkA-C21MI_1,MnO,3,0.308,0.00261533936612439,0.8491361578325942,0.0015099668870541417
UnkA-C21MI_1,CaO,3,0.38706666666666667,0.012791142768858963,3.3046355758333523,0.007384969720843657
UnkA-C21MI_1,Cr2O3,3,0.010066666666666666,0.013280562237094232,131.92611493802218,0.007667536182575934
UnkA-C21MI_1,NiO,3,0.15683333333333335,0.017697834142440475,11.28448510676332,0.01021784930621136
UnkA-C21MI_1,Al2O3,3,0.03186666666666667,0.004168133075290823,13.0799155082348,0.0024064727530373397
UnkA-C21MI_1,Fo,3,81.92772647078112,0.3336854007464071,0.40729239675095025,0.1926533559455863
UnkA-C21MI_10,SiO2,3,40.805621324182574,0.21528663559806885,0.527590632397708,0.12429579701547393
UnkA-C21MI_10,MgO,3,45.169999999999995,1.1961605243444557,2.648130450175904,0.6906036007242755
UnkA-C21MI_10,FeO,3,15.37,1.6627687752661213,10.818274399909704,0.9599999999999995
UnkA-C21MI_10,MnO,3,0.2928,0.014855302083767931,5.073532132434403,0.008576712656956625
UnkA-C21MI_10,CaO,3,0.34123333333333333,0.03016311212944269,8.83943893604846,0.017414680907530605
UnkA-C21MI_10,Cr2O3,3,0.016533333333333334,0.014319683422943864,86.61098844522498,0.008267473078946862
UnkA-C21MI_10,NiO,3,0.2089,0.040859270673863,19.55924876680852,0.02359011092244659
UnkA-C21MI_10,Al2O3,3,0.026433333333333336,0.003494757979221642,13.221026403108354,0.0020176994600562075
UnkA-C21MI_10,Fo,3,83.96939294914252,1.809769373452985,2.155272665302109,1.0448708349342213
UnkA-C21MI_11,SiO2,3,41.10185982435112,0.21550572789232628,0.5243211105611533,0.12442229001054082
UnkA-C21MI_11,MgO,3,45.04333333333333,0.2532455988429696,0.5622265940419662,0.1462114146630765
UnkA-C21MI_11,FeO,3,15.659999999999998,0.504777178564958,3.2233536306830013,0.29143323992525827
UnkA-C21MI_11,MnO,3,0.3016666666666667,0.014184968570050973,4.7021995259837475,0.00818969542236531
UnkA-C21MI_11,CaO,3,0.3749,0.02019009658223559,5.385461878430406,0.011656757696718261
UnkA-C21MI_11,Cr2O3,3,0.0166,0.017603408760805392,106.04463108918911,0.01016333278670601
UnkA-C21MI_11,NiO,3,0.20896666666666666,0.009124326459160339,4.366402835776203,0.005267932337370247
UnkA-C21MI_11,Al2O3,3,0.022866666666666664,0.004834597535817571,21.142554821359646,0.0027912561887277762
UnkA-C21MI_11,Fo,3,83.67940740026117,0.5167595916958064,0.617546906401961,0.298351289371895
UnkA-C21MI_12,SiO2,3,41.07779476765764,0.21923881379869545,0.5337161233672452,0.12657758816349107
UnkA-C21MI_12,MgO,3,44.97666666666667,0.807547728207654,1.7954814975342488,0.4662378982641598
UnkA-C21MI_12,FeO,3,15.756666666666666,0.8709381914540966,5.527426643457351,0.5028363992835485
UnkA-C21MI_12,MnO,3,0.2977,0.013292102918650652,4.464932119130215,0.0076741991981791645
UnkA-C21MI_12,CaO,3,0.36423333333333335,0.04634407549335015,12.723732632932228,0.02675676446143005
UnkA-C21MI_12,Cr2O3,3,0.011966666666666667,0.02436582305881197,203.6141202686237,0.014067614502031882
UnkA-C21MI_12,NiO,3,0.20066666666666666,0.012182501111567092,6.071013842973634,0.007033570296166176
UnkA-C21MI_12,Al2O3,3,0.022766666666666668,0.00863095205254515,37.91047753680154,0.004983082490899696
UnkA-C21MI_12,Fo,3,83.57384736428638,1.0017512382139833,1.1986420032184155,0.5783613470438842
UnkA-C21MI_13,SiO2,3,40.750001402093034,0.4057238981678895,0.9956414336394364,0.23424480182389534
UnkA-C21MI_13,MgO,3,44.38999999999999,1.39097088395121,3.1335230546321475,0.8030774142841629
UnkA-C21MI_13,FeO,3,16.613333333333333,1.8617554440187192,11.206393122103044,1.0748850067694589
UnkA-C21MI_13,MnO,3,0.3046,0.04245091282881915,13.936609595804057,0.024509045949064077
UnkA-C21MI_13,CaO,3,0.3599666666666667,0.011049585210917723,3.069613448722397,0.006379480995957055
UnkA-C21MI_13,Cr2O3,3,0.014600000000000002,0.00549909083394701,37.66500571196582,0.00317490157327751
UnkA-C21MI_13,NiO,3,0.16806666666666667,0.0028307831660749298,1.6843215982199107,0.0016343534229508218
UnkA-C21MI_13,Al2O3,3,0.033,0.021083642948978246,63.889827118115896,0.012172646932090546
UnkA-C21MI_13,Fo,3,82.64543538375273,2.0505341273798603,2.481122058173554,1.1838764304252767
UnkA-C21MI_14,SiO2,3,40.007473952242435,1.0481101569208255,2.6197858884366743,0.6051266812386196
UnkA-C21MI_14,MgO,3,42.20666666666667,0.11015141094572528,0.2609810715820374,0.06359594676113159
UnkA-C21MI_14,FeO,3,19.403333333333332,0.12858201014657533,0.662680004191249,0.07423685817106847
UnkA-C21MI_14,MnO,3,0.3519666666666666,0.01500710942631305,4.26378712746843,0.00866435866704001
UnkA-C21MI_14,CaO,3,0.30893333333333334,0.008768884383622184,2.838439053826775,0.005062717759376974
UnkA-C21MI_14,Cr2O3,3,0.0041333333333333335,0.007228646715211177,174.88661407768976,0.004173461126903877
UnkA-C21MI_14,NiO,3,0.11113333333333335,0.013917375231462782,12.523133081700163,0.008035200336298069
UnkA-C21MI_14,Al2O3,3,0.0302,0.008313843876330617,27.52928435871065,0.004800000000000004
UnkA-C21MI_14,Fo,3,79.49749760009837,0.15045169117764404,0.1892533673631733,0.08686332440144723
UnkA-C21MI_15,SiO2,3,39.370390237922116,0.09035280066947886,0.22949429793167192,0.05216521378856022
UnkA-C21MI_15,MgO,3,42.49666666666667,0.09018499505645018,0.21221663280990705,0.05206833117270659
UnkA-C21MI_15,FeO,3,18.923333333333332,0.21385353243127342,1.1301049802603844,0.12346839451634808
UnkA-C21MI_15,MnO,3,0.36143333333333333,0.00170098010962311,0.47062070726453287,0.0009820613241771018
UnkA-C21MI_15,CaO,3,0.32783333333333337,0.00447362641861541,1.364603889765758,0.0025828494170414286
UnkA-C21MI_15,Cr2O3,3,0.0022666666666666664,0.005749202843293436,253.64130191000456,0.0033193038092012273
UnkA-C21MI_15,NiO,3,0.11746666666666666,0.013923122255203159,11.85282825357817,0.008038518382001614
UnkA-C21MI_15,Al2O3,3,0.0266,0.010701401777337397,40.23083374938871,0.006178457196852086
UnkA-C21MI_15,Fo,3,80.01260353751331,0.1480389072102737,0.18501948526255213,0.08547030292838956
UnkA-C21MI_16,SiO2,3,38.98686882696288,0.3640775167588343,0.9338465173357097,0.2102002523066035
UnkA-C21MI_16,MgO,3,43.173333333333325,0.10066445913694824,0.23316350942776776,0.05811865258054515
UnkA-C21MI_16,FeO,3,18.183333333333334,0.3035347316755246,1.6693019157224083,0.17524585904126497
UnkA-C21MI_16,MnO,3,0.33159999999999995,0.018307375562870827,5.520921460455618,0.010569768209379049
UnkA-C21MI_16,CaO,3,0.3851333333333333,0.007239705334703435,1.879791933885261,0.004179845823844598
UnkA-C21MI_16,Cr2O3,3,0.0028333333333333335,0.005064911976859355,178.7615991832713,0.002924228293261508
UnkA-C21MI_16,NiO,3,0.13796666666666668,0.02400111108539212,17.396311489774426,0.013857047946001252
UnkA-C21MI_16,Al2O3,3,0.027433333333333334,0.006640281118547116,24.205155960682077,0.003833768091287967
UnkA-C21MI_16,Fo,3,80.88829662614596,0.29306011817104494,0.36230224939156097,0.16919833811479634
UnkA-C21MI_17,SiO2,3,40.30610599530359,0.24355244982673693,0.6042569576309736,0.1406150724692594
UnkA-C21MI_17,MgO,3,43.72666666666667,0.7616648431779781,1.7418772141591206,0.4397474022410798
UnkA-C21MI_17,FeO,3,17.226666666666667,1.0004665578285592,5.807661906899531,0.577619636477537
UnkA-C21MI_17,MnO,3,0.3077666666666667,0.017504666044610345,5.687641951026864,0.010106323652930285
UnkA-C21MI_17,CaO,3,0.3940333333333333,0.011800564958226935,2.9948138799323925,0.006813059355221986
UnkA-C21MI_17,Cr2O3,3,0.0121,0.01311945120803458,108.42521659532711,0.007574518686578926
UnkA-C21MI_17,NiO,3,0.14986666666666668,0.02766755018669584,18.461443629912704,0.015973867548106323
