No.,Na2O,SO3,FeO,SiO2,Cl,F,K2O,MnO,Al2O3,P2O5,MgO,CaO,TiO2,Total,Comment,material,is_std,sample,spot
74,3.63,0.0529,13.46,45.33,0.1643,0.0814,1.76,0.1753,15.3,0.7575,5.14,11.49,3.38,100.7213,UnknA-Flow1-1_4,UnknA-Flow1-1,False,UnknA-Flow1-1,4.0
75,3.61,0.0456,13.03,45.41,0.148,0.0784,1.8,0.1728,15.42,0.7318,5.13,11.63,3.34,100.5465,UnknA-Flow1-1_5,UnknA-Flow1-1,False,UnknA-Flow1-1,5.0
76,3.57,0.0406,12.55,45.17,0.1292,0.0459,1.75,0.2252,15.38,0.8091,5.09,12.31,3.37,100.4399,UnknA-Flow1-1_6,UnknA-Flow1-1,False,UnknA-Flow1-1,6.0
77,3.5,0.0323,13.51,45.37,0.1497,0.0444,1.67,0.2367,15.46,0.7161,5.26,11.83,3.41,101.1892,UnknA-Flow1-1_7,UnknA-Flow1-1,False,UnknA-Flow1-1,7.0
78,3.61,0.0276,12.97,45.72,0.1589,0.0666,1.69,0.2116,15.61,0.6696,5.29,12.05,3.29,101.3643,UnknA-Flow1-1_8,UnknA-Flow1-1,False,UnknA-Flow1-1,8.0
79,3.54,0.033,14.03,45.26,0.1606,0.0111,1.71,0.2639,15.35,0.6672,4.84,11.3,3.35,100.5157,UnknA-Flow1-1_9,UnknA-Flow1-1,False,UnknA-Flow1-1,9.0
80,3.9,0.0485,13.08,45.34,0.1258,0.0,1.82,0.2211,15.38,0.726,5.16,11.76,3.32,100.8813,UnknA-Flow1-2_1,UnknA-Flow1-2,False,UnknA-Flow1-2,1.0
81,3.7,0.0443,13.0,45.44,0.1536,0.0277,1.9,0.2505,15.36,0.6893,5.1,11.43,3.32,100.4153,UnknA-Flow1-2_2,UnknA-Flow1-2,False,UnknA-Flow1-2,2.0
82,3.65,0.0307,13.18,45.04,0.0495,0.0745,1.72,0.1864,15.23,0.7544,5.32,12.04,3.22,100.4955,UnknA-Flow1-2_3,UnknA-Flow1-2,False,UnknA-Flow1-2,3.0
83,4.03,0.0484,13.67,45.05,0.1473,0.0582,1.7,0.2172,15.79,0.7446,4.94,11.7,3.31,101.4056,UnknA-Flow1-2_4,UnknA-Flow1-2,False,UnknA-Flow1-2,4.0
84,3.9,0.0409,13.97,44.73,0.1726,0.153,1.8,0.2518,15.46,0.7339,5.18,11.33,3.31,101.0322,UnknA-Flow1-2_5,UnknA-Flow1-2,False,UnknA-Flow1-2,5.0
85,3.86,0.0424,13.35,45.63,0.1697,0.1186,1.82,0.2263,15.62,0.7986,5.09,11.46,3.3,101.4855,UnknA-Flow1-2_6,UnknA-Flow1-2,False,UnknA-Flow1-2,6.0
86,3.71,0.0305,13.89,46.14,0.1587,0.1813,1.85,0.2475,15.44,0.7223,4.98,11.56,3.29,102.2002,UnknA-Flow1-2_7,UnknA-Flow1-2,False,UnknA-Flow1-2,7.0
87,3.86,0.0449,13.66,45.1,0.1752,0.0784,1.8,0.2605,15.46,0.6709,4.95,11.59,3.25,100.8998,UnknA-Flow1-2_8,UnknA-Flow1-2,False,UnknA-Flow1-2,8.0
88,3.71,0.0301,13.43,45.59,0.1602,0.1042,1.79,0.2762,15.36,0.709,5.04,11.78,3.39,101.3696,UnknA-Flow1-2_9,UnknA-Flow1-2,False,UnknA-Flow1-2,9.0
89,3.86,0.0301,13.63,45.43,0.1489,0.0567,1.8,0.3318,15.44,0.6522,5.15,11.43,3.32,101.2797,UnknA-Flow1-1_1,UnknA-Flow1-1,False,UnknA-Flow1-1,1.0
90,3.56,0.0442,14.16,45.59,0.1449,0.1222,1.89,0.2227,15.51,0.7192,4.98,11.26,3.26,101.4632,UnknA-Flow1-1_2,UnknA-Flow1-1,False,UnknA-Flow1-1,2.0
91,3.81,0.0416,12.77,45.25,0.137,0.1067,1.69,0.2895,15.43,0.8026,5.0,12.09,3.28,100.6973,UnknA-Flow1-1_3,UnknA-Flow1-1,False,UnknA-Flow1-1,3.0
92,3.9,0.0265,13.35,45.04,0.1435,0.0424,1.92,0.2087,15.29,0.7066,4.93,11.21,3.33,100.0976,UnknA-Flow1-1_4,UnknA-Flow1-1,False,UnknA-Flow1-1,4.0
93,3.92,0.0326,12.51,45.78,0.1641,0.0634,1.94,0.2444,15.25,0.716,4.99,11.51,3.35,100.4705,UnknA-Flow1-1_5,UnknA-Flow1-1,False,UnknA-Flow1-1,5.0
94,3.8,0.0618,13.94,45.46,0.1697,0.0335,2.02,0.2758,15.49,0.8109,4.78,10.59,3.3,100.7317,UnknA-Flow1-1_6,UnknA-Flow1-1,False,UnknA-Flow1-1,6.0
