,Li7,B11,Na23,Mg24,Al27,Si29,P31,K39,Ca43,Sc45,Ti47,V51,Mn55,Fe57,As75,Rb85,Sr88,Y89,Zr90,Nb93,Cs133,Ba138,La139,Ce140,Pr141,Nd146,Sm147,Eu151,Gd157,Tb159,Dy163,Ho165,Er166,Tm169,Yb172,Lu175,Hf178,Ta181,Pb208,Th232,U238
059MC82-11,0.0847,0.552,2.36,0.365,1.75,381.57,6.16,44.2,336.07,0.271,1.16,0.0805,0.869,38.44,0.116,0.0811,0.0155,0.0352,0.0381,0.0199,0.0159,0.0519,0.0124,0.0,0.0124,0.0,0.0,0.0142,0.0711,0.00521,0.0214,0.0144,0.028,0.00775,0.0,0.00813,0.0,0.0,0.0333,0.0165,0.00679
060MC82-29,0.0839,0.47,2.26,0.318,1.57,357.68,5.81,41.57,336.66,0.266,0.546,0.0846,0.804,34.32,0.112,0.0665,0.0145,0.027,0.0358,0.0229,0.0177,0.0345,0.0117,0.0,0.0106,0.0,0.0319,0.0164,0.0579,0.00693,0.0202,0.00885,0.0152,0.00515,0.0338,0.00764,0.0257,0.00716,0.041,0.0,0.00903
061MC82-35,0.0902,0.414,1.98,0.242,1.42,314.31,4.98,36.61,294.54,0.228,0.83,0.0743,0.707,30.01,0.0983,0.0642,0.0128,0.0,0.0314,0.0259,0.019,0.0428,0.0145,0.0142,0.0059,0.0486,0.0396,0.0083,0.0415,0.00745,0.025,0.00777,0.0,0.00784,0.0297,0.00671,0.032,0.0,0.0329,0.00682,0.0056
062MC82-37,0.0458,0.308,1.13,0.162,0.818,181.63,3.02,21.12,172.26,0.137,0.472,0.0405,0.406,18.11,0.0574,0.0388,0.0,0.0117,0.0219,0.00658,0.0108,0.0154,0.00584,0.00572,0.0053,0.0,0.0159,0.00471,0.0409,0.00244,0.0142,0.00255,0.0107,0.00364,0.0169,0.0,0.0222,0.00357,0.0102,0.00387,0.00551
063MC82-39,0.0459,0.355,1.37,0.178,0.977,216.02,3.54,25.15,197.83,0.157,0.58,0.0549,0.485,20.69,0.0697,0.0438,0.0,0.0143,0.0155,0.0214,0.0104,0.0299,0.00719,0.0122,0.00824,0.0,0.039,0.00819,0.0355,0.00424,0.0123,0.00443,0.0186,0.0,0.0146,0.00331,0.0158,0.0076,0.0206,0.00672,0.00676
064KL2,0.0637,0.396,1.59,0.176,1.14,256.51,4.02,29.94,243.24,0.185,0.792,0.0672,0.559,23.87,0.0857,0.0494,0.0,0.0219,0.0183,0.0,0.0102,0.0224,0.0,0.0,0.00975,0.0,0.0327,0.00969,0.0595,0.00615,0.0253,0.00524,0.0269,0.00648,0.0388,0.00392,0.0,0.00367,0.0258,0.00563,0.00924
065KL2,0.053,0.318,1.36,0.154,1.0,218.2,3.47,25.52,208.68,0.163,0.773,0.0556,0.513,20.04,0.0615,0.0409,0.0,0.0171,0.016,0.0236,0.0107,0.0239,0.00743,0.0,0.00737,0.0,0.0,0.012,0.0424,0.00438,0.0127,0.00723,0.0136,0.00462,0.0303,0.0,0.0115,0.00453,0.013,0.0085,0.0057
066KL2,0.0744,0.551,2.24,0.214,1.59,353.99,5.66,41.36,337.88,0.251,0.941,0.0807,0.807,31.93,0.116,0.0742,0.0289,0.019,0.0503,0.0227,0.0175,0.0266,0.0165,0.0114,0.0106,0.0,0.0,0.0188,0.0577,0.00689,0.0,0.0134,0.0151,0.0136,0.0412,0.00759,0.0181,0.00872,0.029,0.0,0.00895
067KL2,0.0836,0.6,2.39,0.317,1.74,384.36,5.98,44.78,361.87,0.271,1.06,0.0964,0.85,35.84,0.143,0.051,0.0,0.0261,0.0,0.0255,0.0148,0.0298,0.0131,0.0128,0.015,0.0618,0.0504,0.0,0.0749,0.00547,0.0503,0.00808,0.0239,0.00999,0.0535,0.00603,0.0203,0.00566,0.0548,0.0122,0.0142
068GOR132,0.0456,0.365,1.47,0.183,1.07,237.36,3.75,27.82,201.28,0.171,0.942,0.0596,0.543,23.07,0.0741,0.0455,0.0102,0.0164,0.0,0.0207,0.00989,0.0287,0.0,0.0114,0.0067,0.0675,0.0318,0.00665,0.0334,0.00345,0.0142,0.00882,0.0185,0.0063,0.0238,0.00659,0.0,0.00618,0.0265,0.00945,0.00633
069GOR128,0.0457,0.333,1.41,0.17,1.02,231.97,3.69,27.03,213.97,0.164,1.07,0.0553,0.53,21.43,0.0719,0.0507,0.00951,0.0124,0.0165,0.0211,0.011,0.0175,0.0109,0.00751,0.00695,0.0,0.0295,0.0138,0.0,0.0032,0.0132,0.00473,0.014,0.00585,0.0157,0.00353,0.0119,0.00331,0.0206,0.00877,0.00831
070BCR2G,0.0898,0.565,2.17,0.32,1.54,347.62,5.46,40.59,326.91,0.257,0.929,0.083,0.761,33.05,0.104,0.0615,0.0286,0.0264,0.0496,0.0289,0.0189,0.0338,0.0,0.0,0.0104,0.0543,0.0626,0.0161,0.0466,0.00832,0.0395,0.01,0.0297,0.00507,0.0333,0.0075,0.0178,0.0,0.0405,0.0132,0.00623
