No.,element,peak_mm,net_cps,bg_minus,bg_plus,sd_pct,dl_ppm,flagged
41,S,171.948,2.9,6.0,5.1,23.6,114.0,False
41,Fe,134.739,168.2,3.3,2.9,1.76,398.0,False
41,Si,77.822,3274.8,29.4,20.3,0.39,223.0,False
41,Cl,151.478,11.7,7.8,8.0,8.21,45.0,False
41,F,199.14,1.4,3.1,3.3,37.58,359.0,True
41,K,119.485,284.4,29.6,23.0,1.18,60.0,False
41,Mn,146.243,1.9,2.1,2.1,23.87,296.0,False
41,Al,90.995,1024.6,17.5,12.0,0.71,173.0,False
41,P,197.118,18.6,3.7,3.3,6.1,166.0,False
41,Mg,107.534,643.0,41.5,0.0,0.91,177.0,False
41,Ca,107.121,2475.8,31.2,38.0,0.46,89.0,False
41,Ti,88.305,611.8,0.0,46.9,0.94,128.0,False
42,Na,129.476,335.3,0.0,19.0,1.78,165.0,False
42,S,171.948,2.4,5.6,4.5,27.2,109.0,False
42,Fe,134.739,168.7,3.2,2.7,1.75,387.0,False
42,Si,77.822,3269.9,28.0,19.2,0.39,218.0,False
42,Cl,151.478,15.5,7.9,8.1,6.63,45.0,False
42,F,199.14,1.6,3.3,2.9,32.9,361.0,False
42,K,119.485,275.8,30.8,24.9,1.21,61.0,False
42,Mn,146.243,2.9,1.7,1.5,15.57,260.0,False
42,Al,90.995,1038.6,15.2,11.5,0.7,165.0,False
42,P,197.118,18.9,3.0,2.3,5.81,143.0,False
42,Mg,107.534,635.1,39.1,0.0,0.91,171.0,False
42,Ca,107.121,2455.2,32.8,35.1,0.46,88.0,False
42,Ti,88.305,596.4,0.0,46.6,0.95,127.0,False
43,Na,129.476,329.2,0.0,19.3,1.79,166.0,False
43,S,171.948,2.0,5.8,4.8,32.46,112.0,False
43,Fe,134.739,169.2,3.1,2.8,1.75,389.0,False
43,Si,77.822,3307.2,32.9,18.7,0.39,229.0,False
43,Cl,151.478,13.3,9.0,7.3,7.46,45.0,False
43,F,199.14,1.8,3.3,2.9,28.66,359.0,False
43,K,119.485,267.2,29.3,21.0,1.22,58.0,False
43,Mn,146.243,2.4,2.2,1.7,18.93,282.0,False
43,Al,90.995,1025.7,14.6,11.1,0.71,162.0,False
43,P,197.118,18.5,2.7,3.0,5.99,151.0,False
43,Mg,107.534,632.6,39.8,0.0,0.92,173.0,False
43,Ca,107.121,2496.1,32.8,39.5,0.45,91.0,False
43,Ti,88.305,605.4,0.0,47.0,0.94,128.0,False
44,Na,129.476,345.1,0.0,19.0,1.75,165.0,False
44,S,171.948,1.5,6.5,5.2,42.71,117.0,True
44,Fe,134.739,165.8,2.0,2.7,1.76,359.0,False
44,Si,77.822,3279.8,32.2,19.9,0.39,230.0,False
44,Cl,151.478,14.1,7.9,7.1,6.97,43.0,False
44,F,199.14,1.6,2.9,2.5,31.47,335.0,False
44,K,119.485,280.1,28.5,21.1,1.19,58.0,False
44,Mn,146.243,2.1,2.3,1.4,20.78,275.0,False
44,Al,90.995,1025.3,14.9,9.7,0.71,159.0,False
44,P,197.118,19.8,2.2,2.5,5.63,138.0,False
44,Mg,107.534,649.6,39.7,0.0,0.9,173.0,False
44,Ca,107.121,2451.4,32.9,37.4,0.46,90.0,False
44,Ti,88.305,597.7,0.0,45.1,0.95,125.0,False
45,Na,129.476,334.2,0.0,18.1,1.78,161.0,False
45,S,171.948,2.2,5.6,4.7,28.79,110.0,False
45,Fe,134.739,177.7,3.2,2.3,1.7,368.0,False
45,Si,77.822,3336.6,31.8,18.4,0.39,226.0,False
45,Cl,151.478,12.1,9.1,8.3,8.21,47.0,False
45,F,199.14,0.8,3.4,2.7,63.22,357.0,True
45,K,119.485,243.6,29.5,23.1,1.29,59.0,False
