No.,element,peak_mm,net_cps,bg_minus,bg_plus,sd_pct,dl_ppm,flagged
18,Ca,107.775,664.1,285.6,241.7,0.67,14.0,False
18,Cr,159.16,6.1,74.7,66.1,36.0,51.0,True
18,Ni,115.404,31.3,36.2,33.5,4.14,64.0,False
18,Al,90.986,15.8,80.9,66.0,12.95,24.0,False
19,Mg,107.54,61086.9,299.4,236.6,0.09,39.0,False
19,Mn,146.037,106.2,93.5,81.4,2.05,34.0,False
19,Fe,134.743,1854.5,0.0,22.0,0.52,103.0,False
19,Si,77.808,25150.0,183.4,115.1,0.14,59.0,False
19,Ca,107.775,733.4,278.3,236.5,0.63,14.0,False
19,Cr,159.16,15.9,68.7,65.8,14.11,50.0,False
19,Ni,115.404,32.7,35.6,34.5,4.0,65.0,False
19,Al,90.986,16.3,84.0,64.3,12.67,24.0,False
20,Mg,107.54,61327.8,286.7,232.4,0.09,38.0,False
20,Mn,146.037,96.9,91.3,85.6,2.21,34.0,False
20,Fe,134.743,1846.6,0.0,21.8,0.52,102.0,False
20,Si,77.808,25193.1,182.4,102.9,0.14,58.0,False
20,Ca,107.775,736.6,277.6,239.0,0.62,14.0,False
20,Cr,159.16,16.0,69.8,65.9,14.02,50.0,False
20,Ni,115.404,32.1,37.9,32.3,4.07,65.0,False
20,Al,90.986,15.2,84.1,66.0,13.63,24.0,False
21,Mg,107.54,60885.1,295.2,226.2,0.09,38.0,False
21,Mn,146.037,106.0,94.3,80.9,2.06,34.0,False
21,Fe,134.743,1894.3,0.0,24.6,0.52,109.0,False
21,Si,77.808,25163.2,187.0,104.4,0.14,59.0,False
21,Ca,107.775,772.0,283.2,241.9,0.61,14.0,False
21,Cr,159.16,12.5,67.0,68.5,17.74,50.0,False
21,Ni,115.404,32.7,36.6,32.5,3.98,64.0,False
21,Al,90.986,17.7,80.9,64.4,11.55,24.0,False
22,Mg,107.54,59056.1,289.9,225.7,0.09,38.0,False
22,Mn,146.037,114.2,91.6,84.8,1.93,34.0,False
22,Fe,134.743,2060.2,0.0,23.6,0.5,107.0,False
22,Si,77.808,25102.6,187.7,104.9,0.14,59.0,False
22,Ca,107.775,715.4,279.9,239.8,0.64,14.0,False
22,Cr,159.16,15.7,74.2,70.5,14.69,52.0,False
22,Ni,115.404,33.4,38.4,32.3,3.95,65.0,False
22,Al,90.986,17.0,82.3,62.3,12.03,24.0,False
23,Mg,107.54,59280.0,307.0,230.1,0.09,39.0,False
23,Mn,146.037,116.6,94.9,84.5,1.91,34.0,False
23,Fe,134.743,2068.5,0.0,22.0,0.49,103.0,False
23,Si,77.808,25199.2,192.2,115.1,0.14,60.0,False
23,Ca,107.775,705.2,284.4,246.7,0.65,14.0,False
23,Cr,159.16,9.0,69.9,68.9,24.54,51.0,False
23,Ni,115.404,33.6,35.8,34.6,3.92,65.0,False
23,Al,90.986,16.0,85.6,67.4,13.09,25.0,False
24,Mg,107.54,59229.3,303.2,234.0,0.09,39.0,False
24,Mn,146.037,110.9,94.6,86.0,2.0,34.0,False
24,Fe,134.743,2039.0,0.0,27.1,0.5,114.0,False
24,Si,77.808,25926.5,191.6,109.2,0.14,60.0,False
24,Ca,107.775,705.1,281.5,244.7,0.65,14.0,False
24,Cr,159.16,9.3,70.1,68.8,23.87,51.0,False
24,Ni,115.404,32.8,36.6,32.6,3.98,64.0,False
24,Al,90.986,22.3,83.4,66.4,9.43,24.0,False
25,Mg,107.54,66008.8,303.4,243.0,0.09,39.0,False
25,Mn,146.037,69.8,92.1,82.4,2.91,34.0,False
25,Fe,134.743,1376.1,0.0,21.3,0.61,101.0,False
25,Si,77.808,25701.1,186.6,102.8,0.14,59.0,False
25,Ca,107.775,206.3,275.8,230.0,1.69,14.0,False
25,Cr,159.16,2.8,67.3,63.2,74.31,49.0,True
25,Ni,115.404,52.2,35.7,32.8,2.72,64.0,False
25,Al,90.986,17.9,82.5,64.5,11.54,24.0,False
26,Mg,107.54,66078.7,313.4,242.4,0.09,40.0,False
26,Mn,146.037,72.5,89.2,84.7,2.81,33.0,False
26,Fe,134.743,1365.1,0.0,22.6,0.61,104.0,False
26,Si,77.808,25675.7,189.4,107.2,0.14,59.0,False
26,Ca,107.775,216.8,268.5,227.6,1.6,14.0,False
26,Cr,159.16,5.6,68.7,62.2,37.91,49.0,True
26,Ni,115.404,54.0,34.1,33.2,2.63,63.0,False
26,Al,90.986,18.2,81.7,64.5,11.3,24.0,False
27,Mg,107.54,66044.4,302.7,243.3,0.09,39.0,False
27,Mn,146.037,66.5,92.4,82.9,3.04,34.0,False
27,Fe,134.743,1379.5,0.0,21.4,0.61,101.0,False
27,Si,77.808,25574.5,172.8,116.6,0.14,58.0,False
27,Ca,107.775,215.3,272.9,232.6,1.62,14.0,False
27,Cr,159.16,7.5,67.9,64.4,28.66,49.0,False
27,Ni,115.404,51.2,36.6,30.9,2.75,63.0,False
27,Al,90.986,20.9,80.7,63.7,9.87,24.0,False
28,Mg,107.54,61040.3,288.3,234.7,0.09,38.0,False
28,Mn,146.037,96.9,94.1,85.5,2.22,34.0,False
28,Fe,134.743,1820.4,0.0,23.4,0.53,106.0,False
28,Si,77.808,26298.0,179.8,109.0,0.14,58.0,False
28,Ca,107.775,692.3,275.9,237.7,0.65,14.0,False
28,Cr,159.16,21.5,66.8,63.9,10.48,49.0,False
28,Ni,115.404,32.8,37.1,31.8,3.97,64.0,False
28,Al,90.986,25.3,79.9,67.4,8.3,24.0,False
29,Mg,107.54,60675.8,292.9,231.3,0.09,38.0,False
29,Mn,146.037,107.0,93.6,83.6,2.04,34.0,False
29,Fe,134.743,1865.3,0.0,26.2,0.52,112.0,False
29,Si,77.808,26279.9,190.8,115.5,0.14,60.0,False
29,Ca,107.775,782.5,277.5,247.1,0.6,14.0,False
29,Cr,159.16,12.1,67.3,65.0,18.1,49.0,False
29,Ni,115.404,32.7,37.7,33.4,4.03,65.0,False
29,Al,90.986,22.6,81.1,62.9,9.18,24.0,False
30,Mg,107.54,61379.0,287.0,235.7,0.09,38.0,False
30,Mn,146.037,93.6,98.6,86.3,2.31,35.0,False
30,Fe,134.743,1799.2,0.0,24.5,0.53,108.0,False
30,Si,77.808,26411.8,191.3,113.5,0.14,60.0,False
30,Ca,107.775,650.6,277.0,236.0,0.68,14.0,False
30,Cr,159.16,13.3,72.7,66.0,16.93,50.0,False
30,Ni,115.404,32.1,36.6,34.9,4.09,65.0,False
30,Al,90.986,18.7,83.9,64.5,11.13,24.0,False
31,Mg,107.54,58665.4,295.9,230.4,0.09,38.0,False
31,Mn,146.037,111.9,98.6,87.0,2.0,35.0,False
31,Fe,134.743,2068.0,0.0,23.1,0.49,105.0,False
31,Si,77.808,26181.6,193.0,112.7,0.14,60.0,False
31,Ca,107.775,740.8,277.8,238.6,0.62,14.0,False
31,Cr,159.16,8.1,72.4,69.4,27.61,51.0,False
31,Ni,115.404,34.6,38.1,33.9,3.85,65.0,False
31,Al,90.986,20.9,82.7,65.3,9.97,24.0,False
32,Mg,107.54,59180.9,296.7,229.8,0.09,38.0,False
32,Mn,146.037,113.4,95.8,84.8,1.96,34.0,False
32,Fe,134.743,2030.3,0.0,22.3,0.5,103.0,False
32,Si,77.808,26222.4,186.0,108.3,0.14,59.0,False
32,Ca,107.775,731.3,279.7,240.5,0.63,14.0,False
32,Cr,159.16,11.5,68.5,68.1,19.26,50.0,False
32,Ni,115.404,35.4,36.8,33.3,3.74,64.0,False
32,Al,90.986,21.0,80.4,65.4,9.86,24.0,False
33,Mg,107.54,59855.1,296.1,239.9,0.09,39.0,False
33,Mn,146.037,111.0,94.0,88.8,2.0,34.0,False
33,Fe,134.743,2026.1,0.0,24.8,0.5,109.0,False
33,Si,77.808,26049.6,187.1,110.4,0.14,59.0,False
33,Ca,107.775,710.8,283.7,236.1,0.64,14.0,False
33,Cr,159.16,11.5,68.1,65.5,19.19,50.0,False
33,Ni,115.404,36.3,35.2,32.2,3.62,63.0,False
33,Al,90.986,16.4,84.7,67.1,12.72,24.0,False
34,Mg,107.54,56930.2,295.1,225.9,0.09,38.0,False
34,Mn,146.037,123.9,93.0,88.0,1.82,34.0,False
34,Fe,134.743,2264.2,0.0,24.6,0.47,109.0,False
34,Si,77.808,26107.7,192.8,117.8,0.14,61.0,False
34,Ca,107.775,732.2,289.2,247.6,0.63,14.0,False
34,Cr,159.16,3.8,71.9,66.1,56.95,50.0,True
34,Ni,115.404,32.5,36.9,34.1,4.04,65.0,False
34,Al,90.986,20.3,84.9,70.4,10.43,25.0,False
35,Mg,107.54,56882.9,304.4,238.3,0.09,39.0,False
35,Mn,146.037,127.0,97.1,88.6,1.8,35.0,False
35,Fe,134.743,2298.7,0.0,22.8,0.47,105.0,False
35,Si,77.808,26030.1,186.7,118.3,0.14,60.0,False
35,Ca,107.775,730.9,288.1,240.1,0.63,14.0,False
35,Cr,159.16,4.2,70.4,67.0,52.17,50.0,True
35,Ni,115.404,29.0,36.0,33.9,4.43,64.0,False
35,Al,90.986,18.0,82.7,67.4,11.56,24.0,False
36,Mg,107.54,56880.8,300.5,229.9,0.09,39.0,False
36,Mn,146.037,123.6,96.2,85.2,1.83,34.0,False
36,Fe,134.743,2300.0,0.0,22.4,0.47,104.0,False
36,Si,77.808,26064.7,191.8,112.0,0.14,60.0,False
36,Ca,107.775,734.1,283.6,242.4,0.63,14.0,False
36,Cr,159.16,10.3,63.7,66.3,21.04,49.0,False
36,Ni,115.404,29.7,38.4,32.4,4.36,65.0,False
36,Al,90.986,21.3,85.2,68.6,9.95,25.0,False
37,Mg,107.54,60898.8,298.8,234.6,0.09,39.0,False
37,Mn,146.037,104.9,93.9,83.7,2.08,34.0,False
37,Fe,134.743,1903.4,0.0,22.3,0.52,103.0,False
37,Si,77.808,26184.6,192.8,112.1,0.14,60.0,False
37,Ca,107.775,708.1,279.2,239.5,0.64,14.0,False
37,Cr,159.16,16.8,69.1,68.8,13.51,50.0,False
37,Ni,115.404,32.9,34.6,34.0,3.95,64.0,False
37,Al,90.986,16.3,78.3,64.9,12.44,24.0,False
38,Mg,107.54,61147.1,292.3,233.3,0.09,38.0,False
38,Mn,146.037,106.3,91.6,83.8,2.05,34.0,False
38,Fe,134.743,1877.7,0.0,23.7,0.52,107.0,False
38,Si,77.808,26189.3,181.5,109.0,0.14,59.0,False
38,Ca,107.775,706.1,272.7,238.2,0.64,14.0,False
38,Cr,159.16,15.9,70.6,67.2,14.23,50.0,False
