,Li7,B11,Na23,Mg24,Al27,Si29,P31,K39,Ca43,Sc45,Ti47,V51,Mn55,Fe57,As75,Rb85,Sr88,Y89,Zr90,Nb93,Cs133,Ba138,La139,Ce140,Pr141,Nd146,Sm147,Eu151,Gd157,Tb159,Dy163,Ho165,Er166,Tm169,Yb172,Lu175,Hf178,Ta181,Pb208,Th232,U238
063MC82-39,5.16,1.71,26481.02,35184.27,78976.8,197955.2,1965.41,9931.96,86407.33,29.48,21104.23,330.94,1430.17,86428.34,0.59,27.05,843.76,27.44,280.99,71.46,0.271,356.86,53.55,106.65,12.84,51.57,9.25,2.85,8.08,1.07,5.72,1.03,2.69,0.347,2.2,0.282,6.4,4.2,4.45,5.53,1.52
064KL2,5.36,2.69,18456.32,47137.7,72412.02,243090.78,1039.77,4065.0,77901.69,32.49,15717.06,323.55,1378.75,85458.8,0.108,9.07,354.72,25.77,152.74,15.93,0.118,127.28,13.73,33.71,4.59,22.88,5.57,1.98,5.73,0.93,5.27,1.06,2.65,0.388,2.15,0.283,3.91,1.01,1.94,0.97,0.57
065KL2,4.98,2.34,16459.33,41467.13,66350.84,221212.44,1014.12,3966.92,77901.69,32.27,15465.77,305.41,1261.65,78220.01,0.17,8.06,336.72,25.2,151.9,14.9,0.126,116.28,12.11,30.23,4.5,21.77,5.66,1.79,5.68,0.85,5.3,0.95,2.35,0.295,2.1,0.304,3.84,0.95,2.01,1.03,0.58
066KL2,4.54,2.38,16297.88,42843.3,70661.76,244224.97,1003.72,4069.83,77901.69,30.45,14316.11,280.62,1159.78,79249.73,0.16,8.46,357.21,25.5,155.97,14.37,0.103,115.17,12.3,32.25,4.75,22.75,5.37,1.79,5.45,0.9,5.11,0.91,2.3,0.323,2.2,0.283,3.68,0.92,2.13,1.06,0.53
067KL2,4.63,2.33,15818.21,41401.93,66749.8,226600.16,923.15,3958.82,77901.69,31.02,14623.09,290.86,1183.62,79138.84,0.15,8.19,353.12,25.86,153.05,14.34,0.13,114.44,12.83,30.74,4.56,20.61,5.36,1.78,5.37,0.89,4.94,0.93,2.29,0.335,1.91,0.27,3.8,0.85,2.0,1.03,0.52
068GOR132,9.08,19.34,6606.55,145912.08,58787.34,204403.08,109.8,165.11,60392.23,36.73,1783.36,224.85,1262.49,83573.19,0.19,2.18,15.13,13.46,9.98,0.045,7.73,0.72,0.103,0.346,0.086,0.553,0.535,0.26,1.16,0.268,2.14,0.514,1.64,0.233,1.48,0.242,0.387,0.0175,21.83,0.0094,0.057
069GOR128,9.64,23.5,4570.77,172213.22,55151.23,212924.61,75.83,207.78,44597.33,32.63,1718.38,187.1,1413.19,77758.51,0.096,0.42,30.22,11.94,9.86,0.078,0.2,1.07,0.116,0.459,0.097,0.77,0.55,0.262,1.22,0.235,1.92,0.472,1.39,0.224,1.38,0.235,0.429,0.017,0.3,0.0123,0.0083
070BCR2G,21.43,18.36,35441.45,31575.06,127426.41,350929.59,3219.99,52128.09,71470.09,34.26,7467.19,267.99,2042.17,92144.83,0.76,203.2,1889.72,33.76,332.32,41.39,4.1,1382.04,62.7,125.86,14.44,56.48,9.75,2.58,8.49,1.11,6.49,1.28,3.56,0.54,3.81,0.58,8.45,2.21,25.64,21.51,6.18
071MC82-12,6.74,2.96,28808.95,28147.19,74092.8,203042.41,2617.97,11925.48,89552.02,29.1,21538.21,305.05,1387.24,81253.88,0.81,27.56,897.93,28.81,303.43,82.3,0.32,331.83,51.64,104.1,13.82,55.23,9.62,2.98,7.7,1.07,6.25,1.13,2.43,0.325,2.24,0.334,6.17,4.09,4.52,6.1,1.54
072MC82-12B,6.79,1.82,28897.83,28282.02,72967.48,192714.38,2454.95,11654.02,89552.02,26.47,18242.11,268.09,1297.77,76865.91,0.58,28.16,876.34,26.42,282.16,76.27,0.286,324.29,49.27,102.33,13.3,53.14,9.99,2.55,7.17,1.06,6.22,1.0,2.38,0.328,1.94,0.292,6.0,4.14,3.66,5.92,1.41
073MC82-19,5.55,2.67,21350.03,295328.94,69446.66,342625.63,2344.03,9813.51,97628.13,40.45,18942.48,315.25,3642.78,218632.84,0.57,25.03,830.98,27.62,281.26,83.58,0.35,332.08,56.89,115.19,13.58,58.86,9.08,2.45,6.56,1.12,6.23,1.1,2.29,0.328,2.58,0.292,5.33,4.35,4.31,7.45,1.49
074MC82-21,4.2,2.17,20251.1,22454.33,72580.84,195269.75,2062.18,8294.77,97699.61,29.46,19831.37,277.48,1150.49,64504.45,0.5,20.17,788.63,23.34,223.02,61.87,0.183,273.29,39.94,90.41,11.97,46.67,8.92,2.73,6.3,0.96,5.43,0.78,2.11,0.301,2.0,0.228,4.66,3.07,55.49,4.48,1.31
075MC82-28,6.89,11.73,62656.69,47689.06,146801.05,288315.84,3722.46,17658.44,71970.38,15.14,20235.1,218.75,1959.33,121283.0,2.83,85.1,1599.46,43.16,388.93,98.65,0.43,832.48,157.62,334.69,27.26,77.61,10.45,4.84,19.71,1.62,6.88,1.17,4.33,0.76,4.06,0.29,8.25,11.12,1846.88,9.25,2.11
076MC82-32,2.41,1.23,14642.34,16258.56,50176.17,143550.42,1920.85,11675.49,90909.95,23.85,13812.56,175.79,713.79,40814.19,0.37,16.3,632.34,21.85,248.83,57.25,0.204,187.03,30.53,67.68,10.64,50.19,7.59,1.74,4.64,0.8,5.2,0.68,1.32,0.207,1.75,0.225,3.35,2.42,3.09,5.01,0.92
077MC82-40,4.85,2.5,27177.84,33307.82,87502.42,208005.63,2330.29,11159.31,96627.55,34.61,20709.35,347.87,1361.39,80868.11,0.63,30.9,863.95,26.76,262.93,75.18,0.34,382.25,53.22,109.48,12.91,48.18,9.2,2.91,8.2,1.04,6.02,1.11,2.76,0.42,2.03,0.32,6.2,4.66,4.1,5.85,1.45
078MC82-5,7.51,12.2,32447.35,23898.08,84062.66,188322.47,3384.98,14287.32,63751.32,16.19,18514.17,372.46,1279.45,43578.31,1.28,40.93,1527.33,30.64,357.99,122.29,0.44,622.62,97.11,186.89,20.83,75.57,11.68,3.54,9.59,1.18,6.35,1.2,2.82,0.43,2.54,0.332,7.53,7.1,1714.57,9.79,2.53
079MC99U-7,6.87,4.87,26100.17,177851.2,86904.08,301774.66,3891.53,12325.35,97199.32,38.5,12992.25,224.58,2143.81,124466.71,1.26,50.88,1458.3,27.55,471.34,130.94,0.62,624.44,116.25,227.12,23.85,81.89,10.87,2.98,8.33,1.06,5.53,1.03,2.57,0.344,2.13,0.328,9.58,8.01,7.72,12.51,2.91
080MC99U-10,5.03,1.62,20926.3,130308.17,87380.28,259355.52,1964.47,9553.02,115638.6,41.81,24132.6,343.74,1800.64,105340.88,0.6,26.73,861.6,31.26,283.21,79.81,0.31,367.12,57.52,110.53,13.45,52.91,10.01,2.71,8.32,1.1,6.55,1.09,2.75,0.4,2.07,0.341,6.92,4.35,7.37,6.2,1.55
081KL2,5.09,3.13,16812.69,43846.64,68025.53,237209.92,977.62,4045.55,77901.69,32.55,15526.99,314.21,1283.19,83340.62,0.16,8.73,351.57,24.99,148.12,14.77,0.084,120.24,12.75,32.01,4.6,21.52,5.12,1.97,5.85,0.84,5.1,0.91,2.36,0.342,2.0,0.252,3.71,0.88,2.04,0.98,0.55
082KL2,5.49,3.53,18660.55,46127.8,72836.21,237350.97,959.57,3855.19,77901.69,32.12,15658.33,320.51,1318.09,86902.23,0.24,9.03,371.1,25.1,154.41,15.3,0.106,135.31,14.25,33.57,4.57,21.58,5.77,2.09,6.29,0.9,5.09,0.99,2.69,0.32,2.14,0.301,4.25,1.04,2.17,0.99,0.6
083KL2,5.32,3.69,18344.55,47033.02,74728.29,234139.11,987.47,4088.98,77901.7,31.0,15255.21,314.08,1325.92,86456.66,0.14,9.19,374.86,25.76,153.81,15.07,0.14,128.81,13.81,33.85,4.71,21.04,5.95,1.91,6.31,0.96,5.54,0.94,2.84,0.346,2.09,0.278,3.95,1.0,2.11,1.03,0.56
084N612,32.19,40.59,93191.73,57.97,10051.95,275897.91,38.71,22.9,85048.69,41.56,44.49,35.92,35.42,124.92,13.5,27.21,76.61,41.11,40.52,39.66,36.3,39.78,37.95,37.58,37.87,37.9,39.97,37.09,41.07,39.88,39.35,42.13,41.7,41.11,43.98,42.04,39.98,42.67,37.28,41.36,36.01
085N612,31.72,39.96,91708.27,58.19,10354.5,274690.59,36.79,22.66,85048.7,42.7,45.03,35.65,34.81,134.02,12.75,26.89,77.59,41.42,41.42,39.8,36.48,39.33,37.79,37.92,38.44,36.6,38.65,36.04,41.02,40.52,39.34,42.21,41.09,41.04,44.3,41.69,40.31,42.16,38.48,41.74,35.97
086N612,33.01,42.84,98988.63,61.54,10939.4,297299.66,37.64,23.61,85048.7,42.03,45.38,35.76,36.6,145.43,14.0,28.76,82.36,42.18,40.96,39.46,36.42,41.14,40.12,40.09,39.8,36.09,39.49,38.44,43.4,41.27,38.29,43.17,43.34,43.44,43.93,41.32,40.96,45.11,39.66,41.44,36.34
