 
Mass percent  	      Group : Olivine       	  Sample : 010317Fr        	 Page 	  1 	 
 
   No. 	   MgO   	   MnO   	   FeO   	   SiO2  	   CaO   	   Cr2O3 	   NiO   	   Al2O3 	  Total  	Comment  
   86  	 42.5000 	  0.3624 	 18.9000 	 38.7900 	  0.3268 	  0.0013 	  0.1137 	  0.0267 	101.0208 	UnkA-C21MI_15_1 
   87  	 42.5400 	  0.3608 	 19.0400 	 38.7900 	  0.3304 	  0.0000 	  0.1255 	  0.0212 	101.2079 	UnkA-C21MI_15_2 
   88  	 42.4500 	  0.3611 	 18.8300 	 38.7400 	  0.3263 	  0.0055 	  0.1132 	  0.0319 	100.8579 	UnkA-C21MI_15_3 
   89  	 49.7700 	  0.1457 	  9.5400 	 40.1800 	  0.0991 	  0.0215 	  0.3401 	  0.0389 	100.1352 	SC-Olivine 
   90  	 49.7700 	  0.1421 	  9.4800 	 40.3400 	  0.1020 	  0.0193 	  0.2834 	  0.0308 	100.1675 	SC-Olivine 
   91  	 49.6700 	  0.1434 	  9.3700 	 40.2200 	  0.1015 	  0.0098 	  0.3556 	  0.0291 	 99.8995 	SC-Olivine 
   92  	 43.2200 	  0.3358 	 18.0200 	 38.7000 	  0.3862 	  0.0001 	  0.1259 	  0.0293 	100.8172 	UnkA-C21MI_16_1 
   93  	 43.1200 	  0.3379 	 18.3200 	 38.4500 	  0.3811 	  0.0051 	  0.1499 	  0.0236 	100.7875 	UnkA-C21MI_16_2 
   94  	 43.1800 	  0.3211 	 18.2100 	 38.4100 	  0.3881 	  0.0033 	  0.1381 	  0.0294 	100.6799 	UnkA-C21MI_16_3 
   95  	 44.1400 	  0.3080 	 16.6900 	 40.0000 	  0.3999 	  0.0195 	  0.1594 	  0.0320 	101.7487 	UnkA-C21MI_17_1 
   96  	 43.3900 	  0.3164 	 17.6800 	 39.7900 	  0.3881 	  0.0070 	  0.1562 	  0.0303 	101.7579 	UnkA-C21MI_17_2 
   97  	 43.6500 	  0.2989 	 17.3100 	 39.9100 	  0.3941 	  0.0098 	  0.1340 	  0.0231 	101.7299 	UnkA-C21MI_17_3 
   98  	 44.4000 	  0.2911 	 16.7100 	 40.0600 	  0.3852 	  0.0066 	  0.1518 	  0.0341 	102.0388 	UnkA-C21MI_18_1 
   99  	 44.3600 	  0.2846 	 16.9600 	 39.9100 	  0.3840 	  0.0106 	  0.1547 	  0.0282 	102.0920 	UnkA-C21MI_18_2 
  100  	 44.3700 	  0.2883 	 16.7800 	 40.0800 	  0.3895 	  0.0083 	  0.1595 	  0.0302 	102.1058 	UnkA-C21MI_18_3 
  101  	 42.1400 	  0.3373 	 19.3400 	 38.6800 	  0.2700 	  0.0102 	  0.1568 	  0.0298 	100.9640 	UnkA-C21MI_19_1 
  102  	 42.2000 	  0.3418 	 19.2700 	 38.6000 	  0.2663 	  0.0049 	  0.1455 	  0.0246 	100.8530 	UnkA-C21MI_19_2 
  103  	 42.2000 	  0.3374 	 19.3600 	 38.8700 	  0.2683 	  0.0035 	  0.1517 	  0.0322 	101.2231 	UnkA-C21MI_19_3 
  104  	 46.0400 	  0.2405 	 14.4200 	 39.8300 	  0.3438 	  0.0366 	  0.2062 	  0.0319 	101.1489 	UnkA-C21MI_20_1 
  105  	 46.1000 	  0.2360 	 14.4000 	 39.7700 	  0.3349 	  0.0308 	  0.2223 	  0.0315 	101.1254 	UnkA-C21MI_20_2 
  106  	 46.0500 	  0.2411 	 14.3100 	 39.7900 	  0.3391 	  0.0294 	  0.2025 	  0.0267 	100.9888 	UnkA-C21MI_20_3 
  107  	 46.5700 	  0.2232 	 13.6700 	 39.8400 	  0.3710 	  0.0267 	  0.1978 	  0.0347 	100.9334 	UnkA-C21MI_21_1 
  108  	 46.5800 	  0.2194 	 13.8100 	 40.7700 	  0.3675 	  0.0358 	  0.1878 	  0.0237 	101.9941 	UnkA-C21MI_21_2 
  109  	 46.4600 	  0.2225 	 13.8300 	 40.7700 	  0.4093 	  0.0373 	  0.1914 	  0.0269 	101.9473 	UnkA-C21MI_21_3 
  110  	 45.9500 	  0.2533 	 14.7500 	 39.2900 	  0.3542 	  0.0266 	  0.1771 	  0.0310 	100.8322 	UnkA-C21MI_22_1 
  111  	 45.9600 	  0.2547 	 14.5800 	 39.0600 	  0.3455 	  0.0179 	  0.2008 	  0.0341 	100.4529 	UnkA-C21MI_22_2 
  112  	 45.8300 	  0.2513 	 14.8400 	 40.4400 	  0.3465 	  0.0198 	  0.1850 	  0.0471 	101.9596 	UnkA-C21MI_22_3 
  113  	 43.2700 	  0.3146 	 18.3400 	 39.7200 	  0.3249 	  0.0066 	  0.1652 	  0.0282 	102.1694 	UnkA-C21MI_23_1 
  114  	 43.0600 	  0.3182 	 18.3200 	 39.7700 	  0.3393 	  0.0119 	  0.1466 	  0.0331 	101.9990 	UnkA-C21MI_23_2 
  115  	 43.0300 	  0.3161 	 18.3100 	 39.6100 	  0.3394 	  0.0008 	  0.1559 	  0.0254 	101.7875 	UnkA-C21MI_23_3 
  116  	 42.1200 	  0.3706 	 19.4600 	 39.6300 	  0.3691 	  0.0011 	  0.0910 	  0.0406 	102.0824 	UnkA-C21MI_24_1 
  117  	 42.0300 	  0.3735 	 19.5300 	 39.5700 	  0.3527 	  0.0000 	  0.0911 	  0.0326 	101.9799 	UnkA-C21MI_24_2 
  118  	 42.0800 	  0.3657 	 19.5800 	 38.6100 	  0.3364 	  0.0000 	  0.0916 	  0.0257 	101.0894 	UnkA-C21MI_24_3 
  119  	 42.0100 	  0.3685 	 19.9000 	 38.4800 	  0.3200 	  0.0013 	  0.0919 	  0.0299 	101.2015 	UnkA-C21MI_24_4 
  120  	 44.4600 	  0.2868 	 16.7800 	 39.2000 	  0.3760 	  0.0242 	  0.1676 	  0.0307 	101.3253 	UnkA-C21MI_25_1 
  121  	 44.3900 	  0.2787 	 16.7100 	 39.9500 	  0.3757 	  0.0221 	  0.1535 	  0.0329 	101.9129 	UnkA-C21MI_25_2 
  122  	 44.5100 	  0.2908 	 16.6700 	 38.6700 	  0.3741 	  0.0082 	  0.1594 	  0.0303 	100.7127 	UnkA-C21MI_25_3 
  123  	 43.8900 	  0.3024 	 17.2300 	 39.6500 	  0.3706 	  0.0096 	  0.1474 	  0.0299 	101.6298 	UnkA-C21MI_26_1 
  124  	 43.8600 	  0.3078 	 17.1100 	 39.8100 	  0.3638 	  0.0063 	  0.1474 	  0.0269 	101.6321 	UnkA-C21MI_26_2 
  125  	 43.6500 	  0.3096 	 17.5000 	 39.4000 	  0.3799 	  0.0081 	  0.1461 	  0.0315 	101.4252 	UnkA-C21MI_26_3 
  126  	 49.7100 	  0.1380 	  9.5600 	 41.0300 	  0.1005 	  0.0180 	  0.3588 	  0.0316 	100.9469 	SC-Olivine 
  127  	 49.6200 	  0.1471 	  9.4300 	 41.3000 	  0.1003 	  0.0097 	  0.3549 	  0.0324 	100.9943 	SC-Olivine 
  128  	 49.4700 	  0.1408 	  9.4200 	 41.2800 	  0.1042 	  0.0152 	  0.3640 	  0.0438 	100.8379 	SC-Olivine 
 
Minimum	 41.7400 	  0.1356 	  9.3700 	 37.9600 	  0.0978 	  0.0000 	  0.0910 	  0.0193 	 99.3720  
Maximum	 50.0700 	  0.3771 	 20.1900 	 41.3000 	  0.4093 	  0.0684 	  0.3810 	  0.0488 	102.1695  
Average	 45.1531 	  0.2721 	 15.5421 	 39.5020 	  0.3176 	  0.0166 	  0.1953 	  0.0306 	101.0294  
Sigma  	  2.3982 	  0.0700 	  3.1440 	  0.7274 	  0.0841 	  0.0131 	  0.0694 	  0.0057 	  0.7723  
"No. of data"   128 
