 
Mass percent  	      Group : bas-Glas      	  Sample : 201216_Fr       	 Page 	  1 	 
 
   No. 	   Na2O  	   SO3   	   FeO   	   SiO2  	   Cl    	   F     	   K2O   	   MnO   	   Al2O3 	   P2O5  	   MgO   	   CaO   	   TiO2  	  Total  	Comment  
   14  	  2.7500 	  0.0293 	 13.1600 	 46.1900 	  0.1273 	  0.1892 	  1.8000 	  0.1520 	 15.0500 	  0.7424 	  4.9500 	 11.0700 	  3.9100 	100.1202 	1982-CS2-L3A_6 
   15  	  4.8100 	  0.0272 	 12.6600 	 46.2400 	  0.1203 	  0.1179 	  1.7800 	  0.1630 	 15.0700 	  0.7324 	  4.6700 	 10.4700 	  3.9900 	100.8507 	1982-CS2-L3A_7 
   16  	  4.1100 	  0.0790 	 13.6000 	 44.8700 	  0.1267 	  0.1397 	  1.7100 	  0.2202 	 14.7900 	  0.6947 	  4.9000 	 10.8300 	  3.9400 	100.0103 	1982-CS2-L3A_8 
   17  	  4.4400 	  0.0398 	 13.0400 	 45.4000 	  0.1237 	  0.1190 	  1.6700 	  0.2171 	 14.9900 	  0.6864 	  4.8100 	 10.6000 	  3.8700 	100.0059 	1982-CS2-L3A_9 
   18  	  5.6300 	  0.0222 	 13.0100 	 46.1400 	  0.1262 	  0.2576 	  2.1900 	  0.2578 	 14.8800 	  0.6965 	  4.3000 	  9.3900 	  3.8400 	100.7402 	1982-CS2-L5B_1 
   19  	  4.3300 	  0.0457 	 14.1200 	 46.1200 	  0.1455 	  0.1595 	  1.8500 	  0.2145 	 14.8000 	  0.7736 	  4.3600 	  9.9400 	  3.9200 	100.7787 	1982-CS2-L5B_2 
   20  	  4.5200 	  0.0382 	 13.6900 	 45.9500 	  0.1293 	  0.1878 	  2.2000 	  0.2160 	 14.8000 	  0.7710 	  4.5600 	  9.8200 	  3.7800 	100.6622 	1982-CS2-L5B_3 
   21  	  5.1800 	  0.0415 	 15.3800 	 46.0500 	  0.1619 	  0.1813 	  2.2300 	  0.2796 	 14.4700 	  0.7155 	  4.1600 	  8.8200 	  3.9300 	101.5998 	1982-CS2-L5B_4 
   22  	  4.7600 	  0.0527 	 14.4000 	 45.6600 	  0.1272 	  0.1519 	  1.9400 	  0.2856 	 14.5500 	  0.7415 	  4.6100 	  9.8600 	  3.8300 	100.9688 	1982-CS2-L5B_5 
   23  	  5.0900 	  0.0311 	 13.5500 	 46.7500 	  0.1367 	  0.1962 	  2.0700 	  0.2347 	 15.3600 	  0.7363 	  4.1900 	  9.3700 	  3.7400 	101.4549 	1982-CS2-L5B_6 
   24  	  5.0600 	  0.0252 	 12.3400 	 45.9800 	  0.1146 	  0.1854 	  2.0600 	  0.2172 	 14.9500 	  0.7327 	  4.5400 	 10.3400 	  3.8700 	100.4150 	1982-CS2-L5B_7 
