 
Ratios  	      Group : Olivine       	  Sample : 010317Fr        	 Page 	  1 	 
 
   No. 	    Fo+M 	    Fa+M 	  Total  	Comment  
   51  	 78.9805 	 21.0195 	100.0000 	UnkA-C21MI_4_3 
   52  	 79.0587 	 20.9413 	100.0000 	UnkA-C21MI_4_4 
   53  	 78.6841 	 21.3159 	100.0000 	UnkA-C21MI_5_1 
   54  	 78.9474 	 21.0526 	100.0000 	UnkA-C21MI_5_2 
   55  	 78.6713 	 21.3287 	100.0000 	UnkA-C21MI_5_3 
   56  	 78.9387 	 21.0613 	100.0000 	UnkA-C21MI_6_1 
   57  	 78.9772 	 21.0228 	100.0000 	UnkA-C21MI_6_2 
   58  	 78.9301 	 21.0699 	100.0000 	UnkA-C21MI_6_3 
   59  	 90.2881 	  9.7119 	100.0000 	SC-Olivine 
   60  	 90.2527 	  9.7473 	100.0000 	SC-Olivine 
   61  	 90.3856 	  9.6144 	100.0000 	SC-Olivine 
   62  	 84.6519 	 15.3481 	100.0000 	UnkA-C21MI_7_1 
   63  	 84.8696 	 15.1304 	100.0000 	UnkA-C21MI_7_2 
   64  	 84.7491 	 15.2509 	100.0000 	UnkA-C21MI_7_3 
   65  	 81.0040 	 18.9960 	100.0000 	UnkA-C21MI_8_1 
   66  	 80.4337 	 19.5663 	100.0000 	UnkA-C21MI_8_2 
   67  	 80.2994 	 19.7006 	100.0000 	UnkA-C21MI_8_3 
   68  	 79.3820 	 20.6180 	100.0000 	UnkA-C21MI_9_1 
   69  	 79.5449 	 20.4551 	100.0000 	UnkA-C21MI_9_2 
   70  	 79.4344 	 20.5656 	100.0000 	UnkA-C21MI_9_3 
   71  	 83.4366 	 16.5634 	100.0000 	UnkA-C21MI_10_1 
   72  	 85.0171 	 14.9829 	100.0000 	UnkA-C21MI_10_2 
   73  	 83.4600 	 16.5400 	100.0000 	UnkA-C21MI_10_3 
   74  	 83.8908 	 16.1092 	100.0000 	UnkA-C21MI_11_1 
   75  	 83.3906 	 16.6094 	100.0000 	UnkA-C21MI_11_2 
   76  	 83.7561 	 16.2439 	100.0000 	UnkA-C21MI_11_3 
   77  	 84.0957 	 15.9043 	100.0000 	UnkA-C21MI_12_1 
   78  	 83.5252 	 16.4748 	100.0000 	UnkA-C21MI_12_2 
   79  	 83.0954 	 16.9046 	100.0000 	UnkA-C21MI_12_3 
   80  	 83.8166 	 16.1834 	100.0000 	UnkA-C21MI_13_1 
   81  	 82.1318 	 17.8682 	100.0000 	UnkA-C21MI_13_2 
   82  	 81.9652 	 18.0348 	100.0000 	UnkA-C21MI_13_3 
   83  	 79.4415 	 20.5585 	100.0000 	UnkA-C21MI_14_1 
   84  	 79.5879 	 20.4121 	100.0000 	UnkA-C21MI_14_2 
   85  	 79.4680 	 20.5320 	100.0000 	UnkA-C21MI_14_3 
   86  	 80.0315 	 19.9685 	100.0000 	UnkA-C21MI_15_1 
   87  	 79.9304 	 20.0696 	100.0000 	UnkA-C21MI_15_2 
   88  	 80.0747 	 19.9253 	100.0000 	UnkA-C21MI_15_3 
   89  	 90.2962 	  9.7038 	100.0000 	SC-Olivine 
   90  	 90.3456 	  9.6544 	100.0000 	SC-Olivine 
   91  	 90.4336 	  9.5664 	100.0000 	SC-Olivine 
   92  	 81.0469 	 18.9531 	100.0000 	UnkA-C21MI_16_1 
   93  	 80.7496 	 19.2504 	100.0000 	UnkA-C21MI_16_2 
   94  	 80.8677 	 19.1323 	100.0000 	UnkA-C21MI_16_3 
   95  	 82.4996 	 17.5004 	100.0000 	UnkA-C21MI_17_1 
   96  	 81.4004 	 18.5996 	100.0000 	UnkA-C21MI_17_2 
   97  	 81.7991 	 18.2009 	100.0000 	UnkA-C21MI_17_3 
   98  	 82.5697 	 17.4303 	100.0000 	UnkA-C21MI_18_1 
   99  	 82.3367 	 17.6633 	100.0000 	UnkA-C21MI_18_2 
  100  	 82.4983 	 17.5017 	100.0000 	UnkA-C21MI_18_3 
  101  	 79.5227 	 20.4773 	100.0000 	UnkA-C21MI_19_1 
  102  	 79.6094 	 20.3906 	100.0000 	UnkA-C21MI_19_2 
  103  	 79.5302 	 20.4698 	100.0000 	UnkA-C21MI_19_3 
  104  	 85.0520 	 14.9480 	100.0000 	UnkA-C21MI_20_1 
  105  	 85.0873 	 14.9127 	100.0000 	UnkA-C21MI_20_2 
  106  	 85.1519 	 14.8481 	100.0000 	UnkA-C21MI_20_3 
  107  	 85.8628 	 14.1372 	100.0000 	UnkA-C21MI_21_1 
  108  	 85.7383 	 14.2617 	100.0000 	UnkA-C21MI_21_2 
  109  	 85.6854 	 14.3146 	100.0000 	UnkA-C21MI_21_3 
  110  	 84.7444 	 15.2556 	100.0000 	UnkA-C21MI_22_1 
  111  	 84.8924 	 15.1076 	100.0000 	UnkA-C21MI_22_2 
  112  	 84.6231 	 15.3769 	100.0000 	UnkA-C21MI_22_3 
  113  	 80.7920 	 19.2080 	100.0000 	UnkA-C21MI_23_1 
  114  	 80.7289 	 19.2711 	100.0000 	UnkA-C21MI_23_2 
  115  	 80.7242 	 19.2758 	100.0000 	UnkA-C21MI_23_3 
  116  	 79.4145 	 20.5855 	100.0000 	UnkA-C21MI_24_1 
  117  	 79.3225 	 20.6775 	100.0000 	UnkA-C21MI_24_2 
  118  	 79.3015 	 20.6985 	100.0000 	UnkA-C21MI_24_3 
  119  	 79.0030 	 20.9970 	100.0000 	UnkA-C21MI_24_4 
  120  	 82.5234 	 17.4766 	100.0000 	UnkA-C21MI_25_1 
  121  	 82.5611 	 17.4389 	100.0000 	UnkA-C21MI_25_2 
  122  	 82.6316 	 17.3684 	100.0000 	UnkA-C21MI_25_3 
  123  	 81.9502 	 18.0498 	100.0000 	UnkA-C21MI_26_1 
  124  	 82.0412 	 17.9588 	100.0000 	UnkA-C21MI_26_2 
  125  	 81.6379 	 18.3621 	100.0000 	UnkA-C21MI_26_3 
  126  	 90.2592 	  9.7408 	100.0000 	SC-Olivine 
  127  	 90.3646 	  9.6354 	100.0000 	SC-Olivine 
  128  	 90.3432 	  9.6568 	100.0000 	SC-Olivine 
 
Minimum	 78.6713 	  9.5664 	100.0000  
Maximum	 90.4336 	 21.3287 	100.0000  
Average	 83.7741 	 16.2259 	100.0000  
Sigma  	  3.4485 	  3.4485 	  0.0000  
"No. of data"   128 
