group,oxide,n,mean,2SD,2RSD%,2SE
UnknA-BatokeCS1-3_B,Cl,2,0.38785000000000003,0.869034234078267,224.06451826176792,0.6145
UnknA-BatokeCS1-3_B,F,2,0.23935,0.08725697679842,36.45580814640484,0.06170000000000002
UnknA-C21,SiO2,8,44.755,0.7985701507784319,1.7843149386178792,0.2823371844342964
UnknA-C21,TiO2,8,3.77625,0.06840008354213764,1.8113229670211888,0.024183081453185942
UnknA-C21,Al2O3,8,15.235,0.7051646211042808,4.628583006920124,0.24931334271783967
UnknA-C21,FeO,8,12.5875,0.9538343671728344,7.577631516765318,0.33723137457834523
UnknA-C21,MnO,8,0.235025,0.022648557191510973,9.636658734820113,0.008007474187104378
UnknA-C21,MgO,8,4.4087499999999995,0.24574958218246684,5.5741328535858665,0.08688559801749153
UnknA-C21,CaO,8,10.485,0.09441549509633301,0.9004815936703197,0.03338091841585115
UnknA-C21,Na2O,8,4.84375,0.10846329201294695,2.239242157686647,0.03834756464608574
UnknA-C21,K2O,8,2.185,0.07782764841072151,3.561906105753845,0.027516228977511804
UnknA-C21,P2O5,8,0.9963625,0.07270322747797583,7.296865094579115,0.025704472581912424
UnknA-C21,SO3,8,0.1143,0.03826061010640428,33.47384961190226,0.01352716842928651
UnknA-C21,Cl,8,0.125625,0.04889320724073759,38.919965962776196,0.017286359196942377
UnknA-C21,F,8,0.1641,0.1251224771402576,76.2477008776707,0.04423747603236746
UnknA-C22-PS1-L2,SiO2,9,46.233333333333334,1.0164152694642046,2.1984468697855903,0.3388050898214015
UnknA-C22-PS1-L2,TiO2,9,3.576666666666666,0.09110433579144318,2.54718553004967,0.03036811193048106
UnknA-C22-PS1-L2,Al2O3,9,14.73111111111111,0.243401816847049,1.6522977459823815,0.08113393894901634
UnknA-C22-PS1-L2,FeO,9,12.124444444444444,0.3179797338056484,2.6226334349806044,0.10599324460188281
UnknA-C22-PS1-L2,MnO,9,0.1902,0.05118349343294184,26.910354065689713,0.01706116447764728
UnknA-C22-PS1-L2,MgO,9,5.578888888888889,0.11723670263379347,2.1014346219959,0.03907890087793116
UnknA-C22-PS1-L2,CaO,9,11.792222222222222,0.20267653484747128,1.7187306262388031,0.06755884494915709
UnknA-C22-PS1-L2,Na2O,9,4.052222222222222,0.20827332469084447,5.139731072710721,0.06942444156361482
