No.,Na2O,SO3,FeO,SiO2,Cl,F,K2O,MnO,Al2O3,P2O5,MgO,CaO,TiO2,Total,Comment,material,is_std,sample,spot,datetime,curr_A,minutes,bracket,batch,fail_total,fail_crystal,fail_qtest,keep,group
50,3.02,0.0229,11.96,47.88,0.0692,0.0759,1.1657,0.2003,15.43,0.5261,5.74,12.69,3.5,102.2801,UnknA-C22-PS1-L3_6,UnknA-C22-PS1-L3,False,UnknA-C22-PS1-L3,6.0,2016-12-20 19:08:00,1.007e-08,170.0,,1.0,True,False,False,False,UnknA-C22-PS1-L3
51,3.7,0.0542,12.03,47.55,0.0802,0.09,0.9078,0.1917,15.29,0.4851,5.56,11.86,3.5,101.299,UnknA-C22-PS1-L3_7,UnknA-C22-PS1-L3,False,UnknA-C22-PS1-L3,7.0,2016-12-20 19:11:00,1.007e-08,173.0,,1.0,False,False,False,True,UnknA-C22-PS1-L3
52,3.72,0.0387,11.34,48.06,0.0657,0.1074,0.7333,0.147,15.46,0.5012,5.64,12.28,3.56,101.6532,UnknA-C22-PS1-L3_8,UnknA-C22-PS1-L3,False,UnknA-C22-PS1-L3,8.0,2016-12-20 19:15:00,1.007e-08,177.0,,1.0,False,False,False,True,UnknA-C22-PS1-L3
53,3.87,0.0599,10.66,48.1,0.0774,0.0395,1.29,0.1643,15.67,0.5988,5.5,11.63,3.63,101.2898,UnknA-C22-PS1-L3_9,UnknA-C22-PS1-L3,False,UnknA-C22-PS1-L3,9.0,2016-12-20 19:18:00,1.007e-08,180.0,,1.0,False,False,False,True,UnknA-C22-PS1-L3
62,4.94,0.019,9.91,49.92,0.067,0.2399,2.36,0.2147,17.8,1.2409,3.04,8.31,3.0,101.0614,UnknA-BatokeCS1-3_1,UnknA-BatokeCS1-3,False,UnknA-BatokeCS1-3,1.0,2016-12-20 19:49:00,1.008e-08,211.0,,2.0,False,False,False,True,UnknA-BatokeCS1-3_A
63,6.89,0.016,10.86,44.65,0.0806,0.2702,2.42,0.1521,16.09,1.2284,5.59,10.07,3.23,101.5472,UnknA-BatokeCS1-3_2,UnknA-BatokeCS1-3,False,UnknA-BatokeCS1-3,2.0,2016-12-20 19:53:00,1.007e-08,215.0,,2.0,False,False,False,True,UnknA-BatokeCS1-3_B
64,5.06,0.0352,10.74,49.18,0.0177,0.2739,2.44,0.1363,17.77,1.2903,3.1,8.23,2.99,101.2634,UnknA-BatokeCS1-3_3,UnknA-BatokeCS1-3,False,UnknA-BatokeCS1-3,3.0,2016-12-20 19:56:00,1.008e-08,218.0,,2.0,False,False,False,True,UnknA-BatokeCS1-3_A
65,8.61,0.0445,9.48,45.59,0.0302,0.1079,1.32,0.2434,16.62,1.1394,5.16,10.82,3.31,102.4753,UnknA-BatokeCS1-3_4,UnknA-BatokeCS1-3,False,UnknA-BatokeCS1-3,4.0,2016-12-20 20:00:00,1.006e-08,222.0,,2.0,True,False,False,False,UnknA-BatokeCS1-3_B
66,5.14,0.0,10.12,48.43,0.0668,0.1663,1.99,0.1646,17.65,1.2816,3.42,8.74,3.18,100.3492,UnknA-BatokeCS1-3_5,UnknA-BatokeCS1-3,False,UnknA-BatokeCS1-3,5.0,2016-12-20 20:03:00,1.007e-08,225.0,,2.0,False,False,False,True,UnknA-BatokeCS1-3_A
67,5.3,0.0039,10.76,47.99,0.2227,0.2817,2.69,0.171,16.94,1.2234,4.1,8.0,3.24,100.9226,UnknA-BatokeCS1-3_6,UnknA-BatokeCS1-3,False,UnknA-BatokeCS1-3,6.0,2016-12-20 20:07:00,1.008e-08,229.0,,2.0,False,False,False,True,UnknA-BatokeCS1-3_A
68,5.76,0.0149,9.93,48.45,0.0413,0.2692,2.37,0.1869,17.85,1.1543,3.61,8.71,3.02,101.3665,UnknA-BatokeCS1-3_7,UnknA-BatokeCS1-3,False,UnknA-BatokeCS1-3,7.0,2016-12-20 20:10:00,1.008e-08,232.0,,2.0,False,False,False,True,UnknA-BatokeCS1-3_A
69,5.15,0.0236,10.04,49.44,0.0172,0.2861,2.49,0.151,18.22,1.3786,3.35,8.16,3.1,101.8064,UnknA-BatokeCS1-3_8,UnknA-BatokeCS1-3,False,UnknA-BatokeCS1-3,8.0,2016-12-20 20:14:00,1.009e-08,236.0,,2.0,False,False,False,True,UnknA-BatokeCS1-3_A
70,6.16,0.0256,9.31,46.65,0.6951,0.2085,1.98,0.1463,16.93,1.1602,4.65,10.38,2.96,101.2556,UnknA-BatokeCS1-3_9,UnknA-BatokeCS1-3,False,UnknA-BatokeCS1-3,9.0,2016-12-20 20:17:00,1.008e-08,239.0,,2.0,False,False,False,True,UnknA-BatokeCS1-3_B
71,3.68,0.0323,13.16,45.52,0.1475,0.1139,1.88,0.2351,15.32,0.6866,5.28,11.83,3.36,101.2453,UnknA-Flow1-1_1,UnknA-Flow1-1,False,UnknA-Flow1-1,1.0,2016-12-20 20:21:00,1.008e-08,243.0,,2.0,False,False,False,True,UnknA-Flow1-1
72,3.74,0.0391,13.39,45.76,0.1645,0.1163,1.88,0.1713,15.71,0.6709,5.18,11.9,3.38,102.102,UnknA-Flow1-1_2,UnknA-Flow1-1,False,UnknA-Flow1-1,2.0,2016-12-20 20:24:00,1.008e-08,246.0,,2.0,True,False,False,False,UnknA-Flow1-1
73,4.11,0.026,13.26,45.35,0.1591,0.0538,1.77,0.2106,15.81,0.7694,5.08,11.96,3.26,101.8188,UnknA-Flow1-1_3,UnknA-Flow1-1,False,UnknA-Flow1-1,3.0,2016-12-20 20:27:00,1.008e-08,249.0,,2.0,False,False,False,True,UnknA-Flow1-1
74,3.63,0.0529,13.46,45.33,0.1643,0.0814,1.76,0.1753,15.3,0.7575,5.14,11.49,3.38,100.7213,UnknA-Flow1-1_4,UnknA-Flow1-1,False,UnknA-Flow1-1,4.0,2016-12-20 20:31:00,1.008e-08,253.0,,2.0,False,False,False,True,UnknA-Flow1-1
75,3.61,0.0456,13.03,45.41,0.148,0.0784,1.8,0.1728,15.42,0.7318,5.13,11.63,3.34,100.5465,UnknA-Flow1-1_5,UnknA-Flow1-1,False,UnknA-Flow1-1,5.0,2016-12-20 20:34:00,1.009e-08,256.0,,2.0,False,False,False,True,UnknA-Flow1-1
76,3.57,0.0406,12.55,45.17,0.1292,0.0459,1.75,0.2252,15.38,0.8091,5.09,12.31,3.37,100.4399,UnknA-Flow1-1_6,UnknA-Flow1-1,False,UnknA-Flow1-1,6.0,2016-12-20 20:38:00,1.008e-08,260.0,,2.0,False,False,False,True,UnknA-Flow1-1
77,3.5,0.0323,13.51,45.37,0.1497,0.0444,1.67,0.2367,15.46,0.7161,5.26,11.83,3.41,101.1892,UnknA-Flow1-1_7,UnknA-Flow1-1,False,UnknA-Flow1-1,7.0,2016-12-20 20:41:00,1.009e-08,263.0,,2.0,False,False,False,True,UnknA-Flow1-1
78,3.61,0.0276,12.97,45.72,0.1589,0.0666,1.69,0.2116,15.61,0.6696,5.29,12.05,3.29,101.3643,UnknA-Flow1-1_8,UnknA-Flow1-1,False,UnknA-Flow1-1,8.0,2016-12-20 20:45:00,1.008e-08,267.0,,2.0,False,False,False,True,UnknA-Flow1-1
79,3.54,0.033,14.03,45.26,0.1606,0.0111,1.71,0.2639,15.35,0.6672,4.84,11.3,3.35,100.5157,UnknA-Flow1-1_9,UnknA-Flow1-1,False,UnknA-Flow1-1,9.0,2016-12-20 20:48:00,1.009e-08,270.0,,2.0,False,False,False,True,UnknA-Flow1-1
80,3.9,0.0485,13.08,45.34,0.1258,0.0,1.82,0.2211,15.38,0.726,5.16,11.76,3.32,100.8813,UnknA-Flow1-2_1,UnknA-Flow1-2,False,UnknA-Flow1-2,1.0,2016-12-20 20:52:00,1.009e-08,274.0,,2.0,False,False,False,True,UnknA-Flow1-2
81,3.7,0.0443,13.0,45.44,0.1536,0.0277,1.9,0.2505,15.36,0.6893,5.1,11.43,3.32,100.4153,UnknA-Flow1-2_2,UnknA-Flow1-2,False,UnknA-Flow1-2,2.0,2016-12-20 20:55:00,1.009e-08,277.0,,2.0,False,False,False,True,UnknA-Flow1-2
82,3.65,0.0307,13.18,45.04,0.0495,0.0745,1.72,0.1864,15.23,0.7544,5.32,12.04,3.22,100.4955,UnknA-Flow1-2_3,UnknA-Flow1-2,False,UnknA-Flow1-2,3.0,2016-12-20 20:59:00,1.009e-08,281.0,,2.0,False,False,False,True,UnknA-Flow1-2
